Filename,C:/Users/Nox.workstation/Desktop/Analysis/Xana/Data12\190725_Sens30_unamp_1.avi
Frames per second,30.0,Seconds per frame,0.03333333333333333,Fly box size,100x100 pixels,Arena center,"(0, 0)"
Arena diameter pixels,1197,Arena diameter in millimeters,30,Arena top left,"(1, 1)"
,,pixels,pixels,pixeis sum,pixeis sum,pixels/frame,pixels/frame,pixeis avg,pixels/frame,pixels/frame,degrees,degrees,degrees,pixels,,millimeters,millimeters,millimeters/frame,millimeters/frame,millimeters/frame,millimeters/frame,millimeters,pixels,pixels
frame,seconds,x,y,motion,motion acceleration,velocity,acceleration,LED,velocity vector x,velocity vector y,velocity angle,angular velocity,angle to the arena center,distance to the arena center,,x,y,velocity,acceleration,velocity vector x,velocity vector y,distance to the arena center,x in relation to the arena,y in relation to the arena
0.0,0.0,786,259,0,0,0,0,137,0,0,0.0,-82.83297729492188,18.24,827.57,,786.0,259.0,0.0,0.0,0.0,0.0,827.57,785,258
1.0,0.03333333333333333,788,266,4383,4383,7.2801098892805181,7.2801098892805181,137,2,7,285.94539590092285,3.4676971435546875,18.65,831.69,,788.0,266.0,7.2801098892805181,7.2801098892805181,2.0,7.0,831.69,787,265
2.0,0.06666666666666667,790,274,4986,603,8.2462112512353212,0.96610136195480312,137,2,8,284.03624346792645,1.0170745849609375,19.13,836.17,,790.0,274.0,8.2462112512353212,0.96610136195480312,2.0,8.0,836.17,789,273
3.0,0.1,793,280,4737,-249,6.7082039324993694,-1.5380073187359518,137,3,6,296.565051177078,2.7056732177734375,19.45,840.98,,793.0,280.0,6.7082039324993694,-1.5380073187359518,3.0,6.0,840.98,792,279
4.0,0.13333333333333333,796,286,4890,153,6.7082039324993694,0.0,137,3,6,296.565051177078,4.981109619140625,19.76,845.82,,796.0,286.0,6.7082039324993694,0.0,3.0,6.0,845.82,795,285
5.0,0.16666666666666666,799,291,5010,120,5.8309518948453007,-0.87725203765406867,137,3,5,300.9637565320735,7.186553955078125,20.01,850.34,,799.0,291.0,5.8309518948453007,-0.87725203765406867,3.0,5.0,850.34,798,290
6.0,0.2,804,297,5538,528,7.810249675906654,1.9792977810613532,137,5,6,309.80557109226515,7.435211181640625,20.27,857.1,,804.0,297.0,7.810249675906654,1.9792977810613532,5.0,6.0,857.1,803,296
7.0,0.23333333333333334,809,302,5097,-441,7.0710678118654755,-0.73918186404117847,137,5,5,315.0,6.0510711669921875,20.47,863.53,,809.0,302.0,7.0710678118654755,-0.73918186404117847,5.0,5.0,863.53,808,301
8.0,0.26666666666666666,818,310,6327,1230,12.041594578792296,4.9705267669268203,137,9,8,318.3664606634298,3.3786163330078125,20.76,874.77,,818.0,310.0,12.041594578792296,4.9705267669268203,9.0,8.0,874.77,817,309
